filename,B.Code,issue,issue_addressed,addressed_by_whom,notes
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.18 - JO0026.xlsm,JO0026,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.18 - JO0030.xlsm,JO0030,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.18 - NN0439.xlsm,NN0439,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.18 - NN0440.xlsm,NN0440,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - AC0060.xlsm,AC0060,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - AC0061.xlsm,AC0061,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - AC0062.xlsm,AC0062,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - AC0063.xlsm,AC0063,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0030.xlsm,CJ0030,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0031 .xlsm,CJ0031,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0032 .xlsm,CJ0032,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0033.xlsm,CJ0033,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0034.xlsm,CJ0034,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0036.xlsm,CJ0036,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0037.xlsm,CJ0037,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0038.xlsm,CJ0038,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0039.xlsm,CJ0039,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0040.xlsm,CJ0040,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0041.xlsm,CJ0041,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0042.xlsm,CJ0042,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0043.xlsm,CJ0043,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - CJ0044.xlsm,CJ0044,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - DM0026.xlsm,DM0026,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - DM0027.xlsm,DM0027,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - DM0028.xlsm,DM0028,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - JO0027.xlsm,JO0027,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - JO0028.xlsm,JO0028,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - JO0029.xlsm,JO0029,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - JO0032.xlsm,JO0032,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - JO0033.xlsm,JO0033,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - JO0034.xlsm,JO0034,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - JO0035.xlsm,JO0035,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - JO0037.xlsm,JO0037,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - JO0038.xlsm,JO0038,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NM0018.xlsm,NM0018,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NM0019.xlsm,NM0019,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NM0020.xlsm,NM0020,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NM0052.xlsm,NM0052,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NN0441.xlsm,NN0441,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NN0442.xlsm,NN0442,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NN0444.xlsm,NN0444,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - NN0445.xlsm,NN0445,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.19 - SP0017.xlsm,SP0017,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - AC0064.xlsm,AC0064,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - AC0065.xlsm,AC0065,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - AC0067.xlsm,AC0067,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - AC0068.xlsm,AC0068,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - AC0069.xlsm,AC0069,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - AC0070.xlsm,AC0070,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - AC0072.xlsm,AC0072,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - AC0073.xlsm,AC0073,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - AC0074.xlsm,AC0074,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - AC0075.xlsm,AC0075,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - CJ0045.xlsm,CJ0045,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - CJ0046.xlsm,CJ0046,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - CJ0047.xlsm,CJ0047,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - CJ0049.xlsm,CJ0049,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - JO0039.xlsm,JO0039,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - JO0040.xlsm,JO0040,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - JO0041.xlsm,JO0041,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - JO0042.xlsm,JO0042,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - JO0043.xlsm,JO0043,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - JO0044.xlsm,JO0044,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - JO0047.xlsm,JO0047,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - JO0048.xlsm,JO0048,Excel import failed,FALSE,"",""
C:/rprojects/common_data/era/data_entry/industrious_elephant_2023/excel_files/V2.0.20 - JO0049.xlsm,JO0049,Excel import failed,FALSE,"",""
